Subj,ICRcat,Weight,RMSE,Stimulus
S1,2,0.68,0.0355426504357793,two
S1,4,0.83,0.0598668105046528,four
S1,5,0.94,0.0483824692769327,mono
S2,2,0.68,0.0278999103941213,two
S2,4,0.79,0.0404727068528904,four
S2,5,0.89,0.0381558863960289,mono
S3,2,0.62,0.0295559638651829,two
S3,4,0.7,0.0279463772249642,four
S3,5,0.97,0.0547001980496109,mono
S4,2,0.67,0.0233536399732461,two
S4,4,0.77,0.0440157358225442,four
S4,5,0.93,0.0438470257448173,mono
S5,2,0.6,0.0332716095192282,two
S5,4,0.61,0.0535909507286446,four
S5,5,0.87,0.058071751595189,mono
S6,2,0.63,0.0294203161097905,two
S6,4,0.75,0.0459619407771257,four
S6,5,0.91,0.0333891948590159,mono
S7,2,0.67,0.0610881944404973,two
S7,4,0.74,0.0551401849833677,four
S7,5,0.98,0.0577047369517154,mono
S8,2,0.71,0.0379063978768756,two
S8,4,0.93,0.0368772965386564,four
S8,5,1,0.0314245127249413,mono
S9,2,0.61,0.0314751092134722,two
S9,4,0.65,0.041082234603293,four
S9,5,0.87,0.0293874122712429,mono
S10,2,0.48,0.0445632135286494,two
S10,4,0.68,0.0746562790393414,four
S10,5,0.84,0.0475171547969783,mono
S11,2,0.75,0.0322102468168128,two
S11,4,0.91,0.0420388510784964,four
S11,5,0.98,0.0299917210798802,mono
S12,2,0.78,0.04961960298108,two
S12,4,0.86,0.0410577641865701,four
S12,5,1,0.053851648071345,mono
S13,2,0.52,0.0373397241553818,two
S13,4,0.65,0.0675573830162182,four
S13,5,0.82,0.0654912462343888,mono
S14,2,0.74,0.0324013117018432,two
S14,4,0.77,0.0633433895525018,four
S14,5,1,0.0324037034920393,mono
S15,2,0.64,0.0378697768675761,two
S15,4,0.75,0.05528336096874,four
S15,5,0.92,0.0304557602652328,mono
S16,2,0.51,0.0273124513729544,two
S16,4,0.61,0.0556820437843296,four
S16,5,0.86,0.0357059285460179,mono
S17,2,0.73,0.0259579949148619,two
S17,4,0.79,0.0342715625555649,four
S17,5,0.97,0.0223081449998275,mono
S18,2,0.77,0.023781663104165,two
S18,4,0.82,0.0422618030850555,four
S18,5,0.95,0.0308612486245561,mono
S19,2,0.66,0.0216146940760215,two
S19,4,0.76,0.0417784633513489,four
S19,5,0.94,0.0278618018082104,mono
S20,2,0.55,0.0159059737205869,two
S20,4,0.67,0.0403458176271098,four
S20,5,0.82,0.0523499761222486,mono
S21,2,0.53,0.0165938241523767,two
S21,4,0.62,0.0411322258089689,four
S21,5,0.81,0.0315176670033385,mono
S22,2,0.77,0.0421397081147936,two
S22,4,0.81,0.061393932925005,four
S22,5,0.99,0.0395566682115671,mono
S23,2,0.65,0.0405870977035806,two
S23,4,0.75,0.0432290411644765,four
S23,5,0.95,0.0393795632276438,mono
S24,2,0.72,0.079956894637048,two
S24,4,0.78,0.0419757072602714,four
S24,5,0.91,0.0637240535433834,mono
S25,2,0.6,0.0370742498238332,two
S25,4,0.68,0.0434776954311059,four
S25,5,0.92,0.0348217365065749,mono
S26,2,0.63,0.0225262069598945,two
S26,4,0.66,0.046509568907914,four
S26,5,0.85,0.0332553253880738,mono
S27,2,0.58,0.0335887630019327,two
S27,4,0.65,0.0398465807817936,four
S27,5,0.75,0.0497389016096389,mono
S28,2,0.45,0.0351007478552808,two
S28,4,0.54,0.0544246267786928,four
S28,5,0.8,0.0381979493341375,mono
S29,2,0.68,0.0326941126198586,two
S29,4,0.76,0.0529286311933344,four
S29,5,0.96,0.0493027720654055,mono
S30,2,0.78,0.0211063971345182,two
S30,4,0.83,0.0271897958800723,four
S30,5,0.97,0.0454650415154324,mono
S31,2,0.57,0.0306914890482688,two
S31,4,0.62,0.0516561709769511,four
S31,5,0.91,0.0435168166727914,mono
