Subj,Stimulus,Weight,RMSE
S1,grating,0.82,0.072339108832406
S1,noise,0.9,0.0419960315585493
S1,simple,0.9,0.0479878456833951
S1,complex,0.89,0.0469365174109314
S2,grating,0.87,0.0345327863534545
S2,noise,0.8,0.0423143001832713
S2,simple,0.88,0.0398958644473334
S2,complex,0.79,0.0425913136683995
S3,grating,0.85,0.0648067640502645
S3,noise,0.89,0.0768686325276225
S3,simple,0.86,0.0454472588098923
S3,complex,0.81,0.0553481707014785
S4,grating,0.84,0.0484594675992215
S4,noise,0.76,0.0511408512508999
S4,simple,0.9,0.0425578038280485
S4,complex,0.89,0.0406647267296855
S5,grating,0.76,0.0563816163892688
S5,noise,0.74,0.0842479673345298
S5,simple,0.76,0.0536987274833709
S5,complex,0.83,0.0501131719211626
S6,grating,0.77,0.0422429086751059
S6,noise,0.82,0.0452689739225444
S6,simple,0.87,0.0402607749552837
S6,complex,0.85,0.052383998829159
S7,grating,0.85,0.0457657076859957
S7,noise,0.81,0.0621316076298261
S7,simple,0.96,0.0807332232314141
S7,complex,0.89,0.0790677135962166
S8,grating,0.96,0.0528348369922724
S8,noise,0.92,0.0408523357145382
S8,simple,0.94,0.0394324739269552
S8,complex,0.94,0.0451063927472223
S9,grating,0.8,0.0417891532976361
S9,noise,0.71,0.0462738587109396
S9,simple,0.78,0.0499013693866879
S9,complex,0.82,0.044369058287655
S10,grating,0.71,0.0650039998769307
S10,noise,0.61,0.0576848044693459
S10,simple,0.89,0.0407629733949819
S10,complex,0.8,0.0610368741008254
S11,grating,0.93,0.0449984814558595
S11,noise,0.87,0.0441193079425928
S11,simple,0.97,0.0214820855598333
S11,complex,0.95,0.0381182371050919
S12,grating,0.94,0.0706311074055428
S12,noise,0.94,0.0494242180851992
S12,simple,0.96,0.0682154918866186
S12,complex,0.99,0.0409528590780505
S13,grating,0.7,0.0572392639132732
S13,noise,0.7,0.0731585037208025
S13,simple,0.83,0.0575738366505713
S13,complex,0.69,0.0693770134842947
S14,grating,0.9,0.0482130687677106
S14,noise,0.9,0.0618358040836106
S14,simple,0.95,0.0379539194286967
S14,complex,0.87,0.0584045945681216
S15,grating,0.81,0.0437283660796971
S15,noise,0.78,0.0555800923592852
S15,simple,0.92,0.0380952315476185
S15,complex,0.85,0.0504636833112025
S16,grating,0.75,0.0545053514192261
S16,noise,0.67,0.0718516759257106
S16,simple,0.82,0.0482315249603411
S16,complex,0.75,0.0413571839789252
S17,grating,0.84,0.0474252394125041
S17,noise,0.89,0.0339134191729468
S17,simple,0.91,0.0326303028895943
S17,complex,0.92,0.0398695372433641
S18,grating,0.85,0.0428359272885118
S18,noise,0.85,0.0276269795670826
S18,simple,0.94,0.0308099551011249
S18,complex,0.91,0.0415369714832461
S19,grating,0.82,0.0388365806939797
S19,noise,0.8,0.0390363078855229
S19,simple,0.88,0.0423675976818763
S19,complex,0.93,0.0451306990860988
S20,grating,0.7,0.0613568795382121
S20,noise,0.7,0.049223977896956
S20,simple,0.78,0.0440054542074049
S20,complex,0.79,0.0428925401439458
S21,grating,0.67,0.0410040241927545
S21,noise,0.68,0.0477819352196344
S21,simple,0.78,0.0363613347756468
S21,complex,0.77,0.0439484167329533
S22,grating,0.89,0.0612824335896239
S22,noise,0.87,0.0558346965007721
S22,simple,0.96,0.0539615912787358
S22,complex,0.95,0.0346722751873406
S23,grating,0.9,0.0602176607538575
S23,noise,0.85,0.049664709133683
S23,simple,0.83,0.0470292107808186
S23,complex,0.86,0.0562179093646619
S24,grating,0.86,0.0662403703693349
S24,noise,0.77,0.0985746586772347
S24,simple,0.94,0.0407298416397609
S24,complex,0.83,0.0548763458453033
S25,grating,0.82,0.0499777950694105
S25,noise,0.79,0.0614601768085102
S25,simple,0.88,0.0502312651642381
S25,complex,0.76,0.051183200368871
S26,grating,0.69,0.0360486245692306
S26,noise,0.73,0.0450467904887056
S26,simple,0.86,0.0357134895149345
S26,complex,0.81,0.0404763717082777
S27,grating,0.65,0.0352361083738448
S27,noise,0.61,0.045164920015428
S27,simple,0.76,0.0454593591390523
S27,complex,0.78,0.0441208189709423
S28,grating,0.74,0.0673031945749978
S28,noise,0.61,0.0562608804291816
S28,simple,0.68,0.049964454031508
S28,complex,0.69,0.0561152385720671
S29,grating,0.82,0.0660563900517328
S29,noise,0.87,0.0558093182183764
S29,simple,0.94,0.0418778382122732
S29,complex,0.85,0.0543438128953058
S30,grating,0.88,0.0316914289148764
S30,noise,0.88,0.0609960107985213
S30,simple,0.95,0.0291633331428353
S30,complex,0.91,0.0408624114152196
S31,grating,0.8,0.0734767536934869
S31,noise,0.72,0.0594374741500119
S31,simple,0.88,0.0449037489155044
S31,complex,0.76,0.05068582970943
